Month,y,lag1,lag12,window12,expanding,t
1957-03-01,356,301.0,317.0,336.0833333333333,215.6326530612245,86
1957-04-01,348,356.0,313.0,339.0,217.05050505050505,87
1957-05-01,355,348.0,318.0,342.0833333333333,218.36,88
1957-06-01,422,355.0,374.0,346.0833333333333,219.7128712871287,89
1957-07-01,465,422.0,413.0,350.4166666666667,221.69607843137254,90
1957-08-01,467,465.0,405.0,355.5833333333333,224.05825242718447,91
1957-09-01,404,467.0,355.0,359.6666666666667,226.39423076923077,92
1957-10-01,347,404.0,306.0,363.0833333333333,228.0857142857143,93
1957-11-01,305,347.0,271.0,365.9166666666667,229.20754716981133,94
1957-12-01,336,305.0,306.0,368.4166666666667,229.9158878504673,95
1958-01-01,340,336.0,315.0,370.5,230.89814814814815,96
1958-02-01,318,340.0,301.0,371.9166666666667,231.89908256880733,97
1958-03-01,362,318.0,356.0,372.4166666666667,232.6818181818182,98
1958-04-01,348,362.0,348.0,372.4166666666667,233.84684684684686,99
1958-05-01,363,348.0,355.0,373.0833333333333,234.86607142857142,100
1958-06-01,435,363.0,422.0,374.1666666666667,236.0,101
1958-07-01,491,435.0,465.0,376.3333333333333,237.74561403508773,102
1958-08-01,505,491.0,467.0,379.5,239.94782608695652,103
1958-09-01,404,505.0,404.0,379.5,242.23275862068965,104
1958-10-01,359,404.0,347.0,380.5,243.6153846153846,105
1958-11-01,310,359.0,305.0,380.9166666666667,244.59322033898306,106
1958-12-01,337,310.0,336.0,381.0,245.14285714285714,107
1959-01-01,360,337.0,340.0,382.6666666666667,245.90833333333333,108
1959-02-01,342,360.0,318.0,384.6666666666667,246.8512396694215,109
1959-03-01,406,342.0,362.0,388.3333333333333,247.63114754098362,110
1959-04-01,396,406.0,348.0,392.3333333333333,248.91869918699186,111
1959-05-01,420,396.0,363.0,397.0833333333333,250.1048387096774,112
1959-06-01,472,420.0,435.0,400.1666666666667,251.464,113
1959-07-01,548,472.0,491.0,404.9166666666667,253.21428571428572,114
1959-08-01,559,548.0,505.0,409.4166666666667,255.53543307086613,115
1959-09-01,463,559.0,404.0,414.3333333333333,257.90625,116
1959-10-01,407,463.0,359.0,418.3333333333333,259.49612403100775,117
1959-11-01,362,407.0,310.0,422.6666666666667,260.6307692307692,118
1959-12-01,405,362.0,337.0,428.3333333333333,261.40458015267177,119
1960-01-01,417,405.0,360.0,433.0833333333333,262.49242424242425,120
1960-02-01,391,417.0,342.0,437.1666666666667,263.65413533834584,121
1960-03-01,419,391.0,406.0,438.25,264.6044776119403,122
1960-04-01,461,419.0,396.0,443.6666666666667,265.7481481481482,123
1960-05-01,472,461.0,420.0,448.0,267.18382352941177,124
1960-06-01,535,472.0,472.0,453.25,268.6788321167883,125
1960-07-01,622,535.0,548.0,459.4166666666667,270.60869565217394,126
1960-08-01,606,622.0,559.0,463.3333333333333,273.136690647482,127
1960-09-01,508,606.0,463.0,467.0833333333333,275.51428571428573,128
1960-10-01,461,508.0,407.0,471.5833333333333,277.16312056737587,129
1960-11-01,390,461.0,362.0,473.9166666666667,278.4577464788732,130
1960-12-01,432,390.0,405.0,476.1666666666667,279.23776223776224,131
